transaction_id,account_id,amount,merchant,city,transaction_timestamp,ingestion_timestamp,source_system,home_city,risk_category,account_status,kyc_status,is_city_mismatch,silver_updated_at
TX1505,A336,1384.48,Zomato,Kolkata,2026-01-01 02:10:00,2026-06-19 13:02:50.789971,ADLS_HISTORICAL,Kolkata,MEDIUM,ACTIVE,EXPIRED,False,2026-06-19 19:33:14.934004
TX1302,A457,7246.25,Swiggy,Ahmedabad,2026-01-01 02:47:00,2026-06-19 13:02:50.789971,ADLS_HISTORICAL,Ahmedabad,LOW,ACTIVE,PENDING,False,2026-06-19 19:33:14.934004
TX1573,A133,509.04,Zomato,Pune,2026-01-01 04:28:00,2026-06-19 13:02:50.789971,ADLS_HISTORICAL,Pune,MEDIUM,ACTIVE,VERIFIED,False,2026-06-19 19:33:14.934004
TX1853,A464,359.18,Meesho,Kolkata,2026-01-01 04:41:00,2026-06-19 13:02:50.789971,ADLS_HISTORICAL,Pune,MEDIUM,ACTIVE,VERIFIED,True,2026-06-19 19:33:14.934004
TX1164,A116,2049.77,Zomato,Pune,2026-01-01 05:02:00,2026-06-19 13:02:50.789971,ADLS_HISTORICAL,Hyderabad,HIGH,ACTIVE,VERIFIED,True,2026-06-19 19:33:14.934004
TX1430,A149,659.17,Meesho,Ahmedabad,2026-01-01 06:42:00,2026-06-19 13:02:50.789971,ADLS_HISTORICAL,Ahmedabad,HIGH,ACTIVE,PENDING,False,2026-06-19 19:33:14.934004
TX1008,A477,440.19,Ola,Kolkata,2026-01-01 07:51:00,2026-06-19 13:02:50.789971,ADLS_HISTORICAL,Kolkata,LOW,ACTIVE,VERIFIED,False,2026-06-19 19:33:14.934004
TX1091,A136,841.57,Myntra,Hyderabad,2026-01-01 09:08:00,2026-06-19 13:02:50.789971,ADLS_HISTORICAL,Hyderabad,LOW,ACTIVE,EXPIRED,False,2026-06-19 19:33:14.934004
TX1988,A446,2690.99,Nykaa,Chennai,2026-01-01 09:17:00,2026-06-19 13:02:50.789971,ADLS_HISTORICAL,Chennai,HIGH,ACTIVE,EXPIRED,False,2026-06-19 19:33:14.934004
TX1571,A399,77.96,Amazon,Pune,2026-01-01 09:18:00,2026-06-19 13:02:50.789971,ADLS_HISTORICAL,Pune,LOW,ACTIVE,VERIFIED,False,2026-06-19 19:33:14.934004
TX1113,A246,902.32,Flipkart,Delhi,2026-01-01 09:24:00,2026-06-19 13:02:50.789971,ADLS_HISTORICAL,Delhi,LOW,ACTIVE,EXPIRED,False,2026-06-19 19:33:14.934004
TX1559,A200,2059.08,Amazon,Pune,2026-01-01 09:48:00,2026-06-19 13:02:50.789971,ADLS_HISTORICAL,Pune,MEDIUM,ACTIVE,EXPIRED,False,2026-06-19 19:33:14.934004
TX1294,A325,632.60,Swiggy,Bengaluru,2026-01-01 10:20:00,2026-06-19 13:02:50.789971,ADLS_HISTORICAL,Bengaluru,LOW,ACTIVE,VERIFIED,False,2026-06-19 19:33:14.934004
TX1528,A279,3292.85,Swiggy,Ahmedabad,2026-01-01 10:39:00,2026-06-19 13:02:50.789971,ADLS_HISTORICAL,Delhi,LOW,ACTIVE,VERIFIED,True,2026-06-19 19:33:14.934004
TX1407,A348,206.31,Amazon,Chennai,2026-01-01 10:56:00,2026-06-19 13:02:50.789971,ADLS_HISTORICAL,Chennai,LOW,ACTIVE,VERIFIED,False,2026-06-19 19:33:14.934004
TX1644,A234,552.35,Nykaa,Pune,2026-01-01 11:11:00,2026-06-19 13:02:50.789971,ADLS_HISTORICAL,Kolkata,LOW,ACTIVE,VERIFIED,True,2026-06-19 19:33:14.934004
TX1460,A488,181.89,Flipkart,Pune,2026-01-01 11:12:00,2026-06-19 13:02:50.789971,ADLS_HISTORICAL,Bengaluru,HIGH,ACTIVE,VERIFIED,True,2026-06-19 19:33:14.934004
TX1525,A148,1288.78,Swiggy,Ahmedabad,2026-01-01 13:06:00,2026-06-19 13:02:50.789971,ADLS_HISTORICAL,Ahmedabad,LOW,ACTIVE,VERIFIED,False,2026-06-19 19:33:14.934004
TX1359,A298,3898.91,Pharmeasy,Ahmedabad,2026-01-01 13:07:00,2026-06-19 13:02:50.789971,ADLS_HISTORICAL,Ahmedabad,MEDIUM,ACTIVE,EXPIRED,False,2026-06-19 19:33:14.934004
TX1763,A355,243.37,Amazon,Ahmedabad,2026-01-01 13:08:00,2026-06-19 13:02:50.789971,ADLS_HISTORICAL,Ahmedabad,LOW,ACTIVE,PENDING,False,2026-06-19 19:33:14.934004
