transaction_id,account_id,amount,merchant,city,transaction_timestamp,ingestion_timestamp,source_file,source_system
TX1505,A336,1384.48,Zomato,Kolkata,2026-01-01 02:10:00,2026-06-19 12:55:54.757168,abfss://2742abb5-3137-4f73-aee9-9022ed4ef56c@onelake.dfs.fabric.microsoft.com/5a62865a-c6a6-407c-b6d8-cb0917520264/Files/historical-transactions/transactions_2026_01.csv?version=1781871967376?flength=56894,ADLS_HISTORICAL
TX1505,A336,1384.48,Zomato,Kolkata,2026-01-01 02:10:00,2026-06-19 13:02:50.789971,abfss://2742abb5-3137-4f73-aee9-9022ed4ef56c@onelake.dfs.fabric.microsoft.com/5a62865a-c6a6-407c-b6d8-cb0917520264/Files/historical-transactions/transactions_2026_01.csv?version=1781871967376?flength=56894,ADLS_HISTORICAL
TX1302,A457,7246.25,Swiggy,Ahmedabad,2026-01-01 02:47:00,2026-06-19 12:55:54.757168,abfss://2742abb5-3137-4f73-aee9-9022ed4ef56c@onelake.dfs.fabric.microsoft.com/5a62865a-c6a6-407c-b6d8-cb0917520264/Files/historical-transactions/transactions_2026_01.csv?version=1781871967376?flength=56894,ADLS_HISTORICAL
TX1302,A457,7246.25,Swiggy,Ahmedabad,2026-01-01 02:47:00,2026-06-19 13:02:50.789971,abfss://2742abb5-3137-4f73-aee9-9022ed4ef56c@onelake.dfs.fabric.microsoft.com/5a62865a-c6a6-407c-b6d8-cb0917520264/Files/historical-transactions/transactions_2026_01.csv?version=1781871967376?flength=56894,ADLS_HISTORICAL
TX1573,A133,509.04,Zomato,Pune,2026-01-01 04:28:00,2026-06-19 12:55:54.757168,abfss://2742abb5-3137-4f73-aee9-9022ed4ef56c@onelake.dfs.fabric.microsoft.com/5a62865a-c6a6-407c-b6d8-cb0917520264/Files/historical-transactions/transactions_2026_01.csv?version=1781871967376?flength=56894,ADLS_HISTORICAL
TX1573,A133,509.04,Zomato,Pune,2026-01-01 04:28:00,2026-06-19 13:02:50.789971,abfss://2742abb5-3137-4f73-aee9-9022ed4ef56c@onelake.dfs.fabric.microsoft.com/5a62865a-c6a6-407c-b6d8-cb0917520264/Files/historical-transactions/transactions_2026_01.csv?version=1781871967376?flength=56894,ADLS_HISTORICAL
TX1853,A464,359.18,Meesho,Kolkata,2026-01-01 04:41:00,2026-06-19 12:55:54.757168,abfss://2742abb5-3137-4f73-aee9-9022ed4ef56c@onelake.dfs.fabric.microsoft.com/5a62865a-c6a6-407c-b6d8-cb0917520264/Files/historical-transactions/transactions_2026_01.csv?version=1781871967376?flength=56894,ADLS_HISTORICAL
TX1853,A464,359.18,Meesho,Kolkata,2026-01-01 04:41:00,2026-06-19 13:02:50.789971,abfss://2742abb5-3137-4f73-aee9-9022ed4ef56c@onelake.dfs.fabric.microsoft.com/5a62865a-c6a6-407c-b6d8-cb0917520264/Files/historical-transactions/transactions_2026_01.csv?version=1781871967376?flength=56894,ADLS_HISTORICAL
TX1164,A116,2049.77,Zomato,Pune,2026-01-01 05:02:00,2026-06-19 12:55:54.757168,abfss://2742abb5-3137-4f73-aee9-9022ed4ef56c@onelake.dfs.fabric.microsoft.com/5a62865a-c6a6-407c-b6d8-cb0917520264/Files/historical-transactions/transactions_2026_01.csv?version=1781871967376?flength=56894,ADLS_HISTORICAL
TX1164,A116,2049.77,Zomato,Pune,2026-01-01 05:02:00,2026-06-19 13:02:50.789971,abfss://2742abb5-3137-4f73-aee9-9022ed4ef56c@onelake.dfs.fabric.microsoft.com/5a62865a-c6a6-407c-b6d8-cb0917520264/Files/historical-transactions/transactions_2026_01.csv?version=1781871967376?flength=56894,ADLS_HISTORICAL
TX1430,A149,659.17,Meesho,Ahmedabad,2026-01-01 06:42:00,2026-06-19 12:55:54.757168,abfss://2742abb5-3137-4f73-aee9-9022ed4ef56c@onelake.dfs.fabric.microsoft.com/5a62865a-c6a6-407c-b6d8-cb0917520264/Files/historical-transactions/transactions_2026_01.csv?version=1781871967376?flength=56894,ADLS_HISTORICAL
